region_id,region_name,province_id,province_name,province_ascii,latitude,longitude,population
1,Miền Bắc,1,Hà Nội,Ha Noi,21.0285,105.8542,8246600
1,Miền Bắc,2,Hải Phòng,Hai Phong,20.8449,106.6881,2028514
1,Miền Bắc,3,Hà Giang,Ha Giang,22.8026,104.9784,854679
1,Miền Bắc,4,Cao Bằng,Cao Bang,22.6356,106.2522,542963
1,Miền Bắc,5,Lai Châu,Lai Chau,22.3864,103.4703,460196
1,Miền Bắc,6,Lào Cai,Lao Cai,22.4809,103.9755,730401
1,Miền Bắc,7,Điện Biên,Dien Bien,21.3894,103.0166,598856
1,Miền Bắc,8,Sơn La,Son La,21.3258,103.9089,1248415
1,Miền Bắc,9,Yên Bái,Yen Bai,21.7168,104.8986,829146
1,Miền Bắc,10,Tuyên Quang,Tuyen Quang,21.7767,105.228,784811
1,Miền Bắc,11,Lạng Sơn,Lang Son,21.8537,106.761,795067
1,Miền Bắc,12,Bắc Kạn,Bac Kan,22.1474,105.8348,317023
1,Miền Bắc,13,Thái Nguyên,Thai Nguyen,21.5671,105.8252,1286751
1,Miền Bắc,14,Phú Thọ,Phu Tho,21.268,105.2045,1463950
1,Miền Bắc,15,Vĩnh Phúc,Vinh Phuc,21.3609,105.5474,1154641
1,Miền Bắc,16,Bắc Giang,Bac Giang,21.282,106.1975,1803950
1,Miền Bắc,17,Bắc Ninh,Bac Ninh,21.1861,106.0763,1368840
1,Miền Bắc,18,Quảng Ninh,Quang Ninh,21.0059,107.2925,1320324
1,Miền Bắc,19,Hòa Bình,Hoa Binh,20.6861,105.3388,854131
1,Miền Bắc,20,Hà Nam,Ha Nam,20.5835,105.923,850135
1,Miền Bắc,21,Nam Định,Nam Dinh,20.4388,106.1621,1836911
1,Miền Bắc,22,Thái Bình,Thai Binh,20.4464,106.3365,1860447
1,Miền Bắc,23,Ninh Bình,Ninh Binh,20.2506,105.9745,993419
1,Miền Bắc,24,Hưng Yên,Hung Yen,20.6464,106.0511,1282805
1,Miền Bắc,25,Hải Dương,Hai Duong,20.9373,106.3146,1892254
2,Miền Trung,26,Thanh Hóa,Thanh Hoa,19.8067,105.7851,3640000
2,Miền Trung,27,Nghệ An,Nghe An,19.2342,104.92,3129000
2,Miền Trung,28,Hà Tĩnh,Ha Tinh,18.3559,105.8877,1288866
2,Miền Trung,29,Quảng Bình,Quang Binh,17.4676,106.622,912710
2,Miền Trung,30,Quảng Trị,Quang Tri,16.7943,107.1856,642680
2,Miền Trung,31,Thừa Thiên Huế,Thua Thien Hue,16.4637,107.5905,1154404
2,Miền Trung,32,Đà Nẵng,Da Nang,16.0544,108.2022,1134310
2,Miền Trung,33,Quảng Nam,Quang Nam,15.5394,108.0191,1495812
2,Miền Trung,34,Quảng Ngãi,Quang Ngai,15.1214,108.8044,1273950
2,Miền Trung,35,Bình Định,Binh Dinh,13.783,109.2196,1501800
2,Miền Trung,36,Phú Yên,Phu Yen,13.0881,109.0929,877200
2,Miền Trung,37,Khánh Hòa,Khanh Hoa,12.2585,109.0526,1283950
2,Miền Trung,38,Ninh Thuận,Ninh Thuan,11.6739,108.8629,590467
2,Miền Trung,39,Bình Thuận,Binh Thuan,10.9294,108.1005,1230908
2,Miền Trung,40,Kon Tum,Kon Tum,14.3497,108.0005,530716
2,Miền Trung,41,Gia Lai,Gia Lai,13.9833,108.1089,1513847
2,Miền Trung,42,Đắk Lắk,Dak Lak,12.71,108.2378,1909819
2,Miền Trung,43,Đắk Nông,Dak Nong,12.2646,107.6098,613925
2,Miền Trung,44,Lâm Đồng,Lam Dong,11.5753,108.1429,1296906
3,Miền Nam,45,Hồ Chí Minh,Ho Chi Minh,10.8231,106.6297,9077158
3,Miền Nam,46,Bình Phước,Binh Phuoc,11.7511,106.7234,1020885
3,Miền Nam,47,Tây Ninh,Tay Ninh,11.3351,106.0987,1172738
3,Miền Nam,48,Bình Dương,Binh Duong,11.3254,106.477,2426561
3,Miền Nam,49,Đồng Nai,Dong Nai,11.0686,107.1676,3097107
3,Miền Nam,50,Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau,10.5417,107.2429,1148313
3,Miền Nam,51,Long An,Long An,10.6957,106.2431,1688229
3,Miền Nam,52,Tiền Giang,Tien Giang,10.4493,106.342,1738898
3,Miền Nam,53,Bến Tre,Ben Tre,10.2433,106.3756,1258309
3,Miền Nam,54,Vĩnh Long,Vinh Long,10.2397,105.972,1023400
3,Miền Nam,55,Trà Vinh,Tra Vinh,9.8124,106.3452,1015300
3,Miền Nam,56,Đồng Tháp,Dong Thap,10.4938,105.6881,1676690
3,Miền Nam,57,An Giang,An Giang,10.5215,105.1258,2153700
3,Miền Nam,58,Kiên Giang,Kien Giang,10.0125,105.081,1726000
3,Miền Nam,59,Cần Thơ,Can Tho,10.0452,105.7469,1282000
3,Miền Nam,60,Hậu Giang,Hau Giang,9.7579,105.6412,769700
3,Miền Nam,61,Sóc Trăng,Soc Trang,9.6037,105.9739,1301953
3,Miền Nam,62,Bạc Liêu,Bac Lieu,9.2515,105.7244,907236
3,Miền Nam,63,Cà Mau,Ca Mau,9.1527,105.196,1194476
